Tijdstip;Agentnaam;Platform;Utime (dagen);RAM vrij (MB);CPU aantal;CPU belasting (%);IP
15:33:17;Agent 1;win32;0;899;2;1.8;127.0.0.1
15:33:17;Agent 2;linux;0;1770;2;0.0;192.168.220.132
15:33:48;Agent 1;win32;0;900;2;15.2;127.0.0.1
15:33:49;Agent 2;linux;0;1770;2;0.0;192.168.220.132
15:43:31;Agent 1;win32;0;903;2;2.4;127.0.0.1
15:43:32;Agent 2;linux;0;1770;2;0.0;192.168.220.132
15:45:33;Agent 1;win32;0;901;2;14.3;127.0.0.1
15:47:09;Agent 1;win32;0;900;2;19.8;127.0.0.1
15:48:45;Agent 1;win32;0;910;2;26.7;127.0.0.1
15:50:20;Agent 1;win32;0;909;2;39.9;127.0.0.1
15:51:48;Agent 1;win32;0;911;2;29.7;127.0.0.1
15:55:06;Agent 1;win32;0;913;2;40.7;127.0.0.1
15:58:41;Agent 1;win32;0;924;2;42.8;127.0.0.1
15:59:53;Agent 1;win32;0;919;2;38.0;127.0.0.1
16:01:04;Agent 1;win32;0;918;2;37.7;127.0.0.1
16:01:40;Agent 1;win32;0;912;2;37.3;127.0.0.1
16:02:53;Agent 1;win32;0;918;2;25.3;127.0.0.1
16:04:07;Agent 1;win32;0;918;2;34.4;127.0.0.1
16:04:34;Agent 1;win32;0;913;2;47.3;127.0.0.1
16:04:35;Agent 2;linux;0;1770;2;0.0;192.168.220.132
16:05:34;Agent 1;win32;0;920;2;8.2;127.0.0.1
16:05:35;Agent 2;linux;0;1770;2;0.0;192.168.220.132
